Realization,Block,Event,Allisonia,Belva,Bluestone,GlenLyn,Hilldale,Marmet,Pipestem,Queen Shoals,Radford,Summersville,Sutton,Thurmund,Tornado,Winfield
1,52,521,3928.469979,15039.83355,75507,77777.33913,3749.033542,72903.37,1995.428273,8003.720171,4912.61,6769.478882,6434.84,62134.58766,6017.396357,75997.07188
1,52,522,6786.325781,14857.00544,75526.81,77811.83865,1284.042751,71598.67,5491.608627,7004.018399,8676.36,774.4667959,531.22,61418.80904,1394.125212,72779.9312
1,52,523,5331.688464,14917.21776,75339.37,77902.58626,3608.862547,72165.24,1641.575398,9425.080649,7238.99,7177.23327,5760.41,61597.40795,4422.963021,74428.97568
1,52,524,75786.79203,14994.65103,80904.02,81183.43194,24462.90255,74194.68,9852.14159,15857.36331,120566.44,15328.32588,13846.09,63467.74336,14456.3501,78732.73097
1,52,525,6949.381326,14900.49608,75549.23,78065.7566,1104.237613,71778.1,1025.982505,7075.065022,8215.49,774.4667959,707.94,61355.78148,1997.943104,73719.91543
1,52,526,9411.269701,25817.0235,78263.34,79301.31386,40294.19592,87532.36,8669.943336,25973.6212,11327.57,28982.48446,20253.28,64230.26722,29576.36219,130702.5742
1,52,527,5576.80643,15784.18142,77226.88,79013.27326,19904.38791,74591.65,1745.610616,9382.549352,6977.78,8863.797907,6737.25,64034.53156,2441.051621,78133.8066
1,52,528,56619.68919,14946.10405,78188.18,79938.14703,2894.424645,72261.52,1613.508822,7955.476515,67579.93,4487.195955,2809.85,61643.58777,4351.791894,74792.15211
1,52,529,70610.33857,24093.34229,76969.2,78854.07422,27297.47983,73097.52,12642.38518,20180.52229,90169.93,25440.05045,19506.4,62175.09979,23165.84868,94891.03954
1,52,530,3928.469979,14864.87127,74883.57,77753.74134,1173.063074,71837.73,403.9963979,6999.507185,4811.39,1159.166091,687.38,61336.43054,4236.251592,73161.17496
1,52,531,34857.79689,16513.81365,79928.3,80839.39534,25985.0166,75025.13,5509.271959,13040.37869,42211.05,14118.73001,9732.95,64698.63264,11716.16944,79200.1226
1,53,532,6050.306561,14990.52743,75566.84,78203.3712,7849.633826,73553.32,654.3092214,7205.955372,7072.46,4365.548183,3480.6,63479.96381,2551.864873,75758.75187
1,53,533,21241.02148,17881.22533,78040.28,79673.96608,7626.024487,72678.81,8142.938869,20398.10195,23789.3,17104.29247,18617.26,61823.16644,17334.69353,77246.39463
1,53,534,5271.321993,14898.608,75240.17,78035.10098,6645.433233,71920.56,621.4888436,16626.97715,6867.3,8855.935337,9514.04,61481.84079,4484.354354,74510.98688
1,53,535,3928.469979,14833.39018,74795.18,77681.10327,1063.436344,71466.62,403.9963979,6974.204042,4727.61,774.4667959,381.77,61318.28643,249.9347987,72520.78351
1,53,536,16494.61775,14997.29219,79320.65,80671.53161,10902.30183,73170.36,13518.38142,7195.87689,24341.26,4768.194076,3526.8,62710.80993,7226.122974,75526.73077
1,53,537,44264.68781,15017.22434,77420.05,79152.40072,7992.555368,73916.66,8296.579988,9023.127248,57344.17,5683.583835,4494.79,63397.86545,6805.281793,77130.73011
1,53,538,11414.15344,15013.16508,78713.61,79898.27397,4889.901406,73232.12,3609.357521,7228.774829,13759.76,2992.641828,2720.27,62952.16552,2925.41021,75862.44364
1,53,539,5822.897301,14908.79525,74831.41,77713.65243,1063.436344,71759.54,403.9963979,7078.778519,7098.42,774.4667959,697.85,61318.41824,545.2089408,73226.52074
1,53,540,25915.41492,15016.3775,80607.62,81008.89755,10761.6909,73862.03,7866.71253,7246.84559,29089.2,6510.49978,3529.24,63628.01396,6116.932589,76647.23901
1,53,541,5594.418565,15050.85882,77189.21,79156.58952,1381.416438,72996.82,1922.420284,8876.00392,7146.14,4385.387499,4290.89,61884.97333,8839.310961,77219.89201
1,54,542,3928.469979,14843.81649,74800.48,77683.88813,1104.891935,71485.31,633.5072345,6965.256085,4746.29,774.4667959,399.87,61318.29421,541.3784797,72457.95602
1,54,543,4882.894747,14893.37186,74943.52,77747.19284,2318.25209,72012.17,1960.371279,7053.753707,6966.07,10060.79957,3131.44,61465.2084,3155.871962,73606.00225
1,54,544,3928.469979,14834.36711,74800.64,77683.68679,1063.436344,71491.64,403.9963979,6972.188497,4727.61,774.4667959,381.77,61318.3592,1046.956233,72793.31317
1,54,545,11509.14382,14972.434,79175.61,80380.9429,4230.335528,73115.05,3539.209329,7246.935864,15208.8,2814.747583,3137.01,63103.45742,1984.64688,75662.41582
1,54,546,5911.112467,14878.00747,75718.48,77987.52167,10277.59329,72404.35,7007.507727,14397.30104,6948.12,15150.93415,11911.68,62317.67118,8998.792714,74795.22197
1,54,547,7296.968857,14848.32401,74803.15,77686.48312,1063.436344,71490.23,403.9963979,6959.759165,8324.58,774.4667959,381.77,61318.39582,249.9347987,72453.58058
1,54,548,19688.38807,15059.75181,80610.83,81334.70484,28702.77971,74526.68,4619.028617,7329.960843,30093.32,15890.92467,7787,64442.84235,4439.385841,77095.61593
1,54,549,5238.004604,14915.07923,75956.28,78327.67964,5630.222206,72057.17,878.2184251,7068.877165,6322.91,2218.243726,3441.26,62020.86916,1913.978134,73520.72074
1,54,550,12762.57244,15175.97198,78328.77,79132.63385,11933.11386,75787.09,3446.173629,7353.670837,13768.56,6436.882602,5591.27,65489.78681,4862.327833,79275.03976
1,54,551,5307.354995,14996.34996,75438.08,77760.58513,1692.688856,72380.59,2097.594858,7372.692521,6219.22,2684.74479,2882.6,61490.18574,3748.175096,75519.38121
1,55,552,50231.05533,15093.34694,78889.05,80384.17443,4441.273329,73917.21,2698.342971,10057.77084,56101.46,4446.655813,3768.13,63024.9702,14156.83179,78247.41259
1,55,553,28338.889,14939.8792,77617.8,79292.68874,1125.967635,72216.27,5767.652388,7905.467758,30986.08,2443.047737,2524.72,61424.08051,4420.696865,75316.67036
1,55,554,8459.687308,14976.85712,76723.15,78841.58417,2246.542467,72534.76,2472.545513,7442.036296,10724.59,4397.128253,2690.12,61802.1188,4452.074661,75149.97545
1,55,555,16968.91176,15087.66104,78884.34,79775.03649,16339.69535,74579.86,7415.132022,7275.40368,19111.78,13341.29265,8173,64493.08282,5340.379637,76846.84747
1,55,556,18432.54145,15118.95007,80634.31,80732.63088,44877.37011,75764.42,8736.276622,7525.311418,24352.25,14943.91929,5399.16,65897.97,1216.37676,78640.81434
